tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,1994-06-01 00:00:00,21073,VILLA GOBERNADOR GÁLVEZ,Santa Fe,Nacional,21073,,BERLINA 5 PUERTAS,21073,RENAULT,21073,RENAULT 19 RN (BIC),21073,Privado,Física,VILLA GDOR GALVEZ,SANTA FE,No identificado,21073,ARGENTINA,21073,21073,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,2008-09-25 00:00:00,21050,ROSARIO Nº 12,Santa Fe,Nacional,21050,,FURGON 600,21050,PEUGEOT,21050,PARTNER FURGON 1.9 D PLC CONFORT,21050,Privado,Física,ROSARIO,SANTA FE,Masculino,21050,ARGENTINA,21050,21050,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-21 00:00:00,2001-01-09 00:00:00,1058,MAR DEL PLATA Nº 01,Buenos Aires,Nacional,1058,,SEDAN,1058,CHEVROLET,1058,CORSA 3 PTAS. WIND 1.6 MPFI,1058,Privado,Física,MAR DEL PLATA,BUENOS AIRES,No identificado,1058,ARGENTINA,1058,1058,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,1999-09-09 00:00:00,1062,MERLO Nº 1,Buenos Aires,Nacional,1062,,BERLINA 3 PTAS.,1062,RENAULT,1062,CLIO RN 3 PTAS PACK AA DA,1062,Privado,Física,MERLO,BUENOS AIRES,No identificado,1062,ARGENTINA,1062,1062,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-24 00:00:00,1999-04-08 00:00:00,1168,MORON Nº 06,Buenos Aires,Nacional,1168,,CH. CABINA 3550.,1168,MERCEDES BENZ,1168,SPRINTER310D/CH3550,1168,Privado,Física,EL PALOMAR. MORON,BUENOS AIRES,No identificado,1168,ARGENTINA,1168,1168,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,1992-02-07 00:00:00,1062,MERLO Nº 1,Buenos Aires,Nacional,1062,,BERLINA 4 PTAS,1062,RENAULT,1062,RENAULT 21 TXE,1062,Privado,Física,MERLO,BUENOS AIRES,Femenino,1062,ARGENTINA,1062,1062,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-04 00:00:00,2000-08-30 00:00:00,13035,MENDOZA Nº 19,Mendoza,Nacional,13035,,SEDAN 3 PUERTAS,13035,CHEVROLET,13035,CORSA 3 PUERTAS 1.0 N,13035,Privado,Física,GODOY CRUZ,MENDOZA,Femenino,13035,ARGENTINA,13035,13035,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-28 00:00:00,2008-01-24 00:00:00,1025,CHASCOMUS,Buenos Aires,Importado,1025,,PICK UP CABINA DOBLE,1025,DODGE,1025,RAM 2500SLT4X4TD HEAVY DUTY BI GHORN,1025,Privado,Física,CHASCOMÚS,BUENOS AIRES,No identificado,1025,ARGENTINA,1025,1025,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-11 00:00:00,2006-05-17 00:00:00,13020,MENDOZA Nº 12,Mendoza,Nacional,13020,,FURGON  600,13020,PEUGEOT,13020,PARTNER FURGON D PLC CONFORT,13020,Privado,Física,SAN JOSE,MENDOZA,Masculino,13020,ARGENTINA,13020,13020,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-04 00:00:00,2005-11-18 00:00:00,2039,CAPITAL FEDERAL Nº 039,Ciudad Autónoma de Bs.As.,Nacional,2039,,FOURGON COURT TYPE 6,2039,CITROEN,2039,BERLINGO FURGON 1.9D FULL,2039,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,2039,ARGENTINA,2039,2039,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-18 00:00:00,2008-01-22 00:00:00,1226,LA MATANZA Nº 09,Buenos Aires,Nacional,1226,,UTILITARIO,1226,CHEVROLET,1226,CORSA CLASSIC 3P CARGO 1.6N,1226,Privado,Física,GONZALEZ CATAN,BUENOS AIRES,No identificado,1226,ARGENTINA,1226,1226,ARG
