tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-07 00:00:00,2013-06-13 00:00:00,5016,CORRIENTES Nº 5,Corrientes,Nacional,5016,20,PICK-UP,5016,FORD,5016,RANGER2 DC 4X2 XL 2.2L D,5016,Privado,Física,EMPEDRADO,CORRIENTES,No identificado,5016,ARGENTINA,5016,5016,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,2016-09-23 00:00:00,1174,LA MATANZA Nº 07,Buenos Aires,Nacional,1174,20,PICK-UP,1174,VOLKSWAGEN,1174,AMAROK 2.0L TDI 180CV 4X4 056,1174,Privado,Física,RAMOS MEJÍA,BUENOS AIRES,Masculino,1174,ARGENTINA,1174,1174,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-19 00:00:00,2013-04-08 00:00:00,7015,ESQUEL Nº 2,Chubut,Nacional,7015,20,PICK-UP,7015,TOYOTA,7015,HILUX 4X4 CABINA DOBLE DX PACK 2.5 TDI,7015,Privado,Física,RIO PICO-DPTO.TEHUELCHES,CHUBUT,No identificado,7015,ARGENTINA,7015,7015,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-05 00:00:00,2005-06-23 00:00:00,8023,CONCORDIA Nº 3,Entre Ríos,Nacional,8023,20,PICK-UP,8023,TOYOTA,8023,HILUX 4X2 CABINA DOBLE DX 2.5 TD,8023,Privado,Física,CONCORDIA,ENTRE RIOS,Masculino,8023,ARGENTINA,8023,8023,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-13 00:00:00,2011-03-02 00:00:00,4046,VILLA ALLENDE Nº 1,Córdoba,Nacional,4046,20,PICK-UP,4046,VOLKSWAGEN,4046,AMAROK 2.0L TDI 4X4,4046,Privado,Física,SALDÁN,CORDOBA,Masculino,4046,ARGENTINA,4046,4046,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-17 00:00:00,2013-03-21 00:00:00,9005,FORMOSA Nº 3,Formosa,Nacional,9005,20,PICK-UP,9005,TOYOTA,9005,HILUX 4X2 CABINA DOBLE DX PACK 2.5 TDI,9005,Privado,Física,FORMOSA,FORMOSA,Masculino,9005,ARGENTINA,9005,9005,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-17 00:00:00,2016-10-07 00:00:00,4045,CORDOBA Nº 12,Córdoba,Nacional,4045,20,PICK-UP,4045,VOLKSWAGEN,4045,AMAROK 2.0L TDI 180 CV 4X2 665,4045,Privado,Física,CORDOBA,CORDOBA,No identificado,4045,ARGENTINA,4045,4045,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-05 00:00:00,2020-10-28 00:00:00,13009,GENERAL SAN MARTIN Nº 2,Mendoza,Nacional,13009,20,PICK-UP,13009,VOLKSWAGEN,13009,AMAROK DC V6 COMFORTLINE 3.0L 258 CV TDI 4X4 AT,13009,Privado,Física,GRAL.SAN MARTIN,MENDOZA,Femenino,13009,ARGENTINA,13009,13009,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,1993-06-09 00:00:00,13010,MENDOZA Nº 04,Mendoza,Nacional,13010,20,PICK-UP,13010,RENAULT,13010,RENAULT TRAFIC,13010,Privado,Física,VILLA NUEVA,MENDOZA,No identificado,13010,ARGENTINA,13010,13010,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,1999-10-28 00:00:00,1161,ESTEBAN ECHEVERRIA Nº 2,Buenos Aires,Nacional,1161,20,PICK-UP,1161,CHEVROLET,1161,SILVERADO CONQUEST DIESEL,1161,Privado,Física,LUIS GUILLON,BUENOS AIRES,Masculino,1161,ARGENTINA,1161,1161,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-11 00:00:00,1999-01-21 00:00:00,13010,MENDOZA Nº 04,Mendoza,Nacional,13010,20,PICK-UP,13010,FORD,13010,RANGER XL 4X2 D,13010,Privado,Jurídica,RODEO DE LA CRUZ GLLEN,MENDOZA,No aplica,13010,No aplica,13010,13010,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,2013-01-29 00:00:00,1152,LA MATANZA Nº 04,Buenos Aires,Nacional,1152,20,PICK-UP,1152,VOLKSWAGEN,1152,AMAROK 2.0L TDI 180 CV 748,1152,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Masculino,1152,ARGENTINA,1152,1152,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-19 00:00:00,2001-04-09 00:00:00,1171,ESCOBAR Nº 1,Buenos Aires,Nacional,1171,20,PICK-UP,1171,FORD,1171,RANGER XL 4X2 D,1171,Privado,Física,BELÉN DE ESCOBAR,BUENOS AIRES,Masculino,1171,ARGENTINA,1171,1171,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-27 00:00:00,1999-08-10 00:00:00,13011,MENDOZA Nº 05,Mendoza,Nacional,13011,20,PICK-UP,13011,TOYOTA,13011,HILUX 4X2 CABINA SIMPLE STD,13011,Privado,Física,VILLA NUEVA,MENDOZA,Masculino,13011,ARGENTINA,13011,13011,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-26 00:00:00,1995-02-21 00:00:00,1169,OLIVOS Nº 05,Buenos Aires,Nacional,1169,20,PICK-UP,1169,FORD,1169,F-100 DIESEL,1169,Privado,Física,CARAPACHAY,BUENOS AIRES,No identificado,1169,ARGENTINA,1169,1169,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-24 00:00:00,2018-10-12 00:00:00,13015,MENDOZA Nº 09,Mendoza,Nacional,13015,20,PICK-UP,13015,TOYOTA,13015,HILUX 4X2 D/C DX 2.4 TDI 6 M/T,13015,Privado,Física,COSTA DE ARAUJO,MENDOZA,Masculino,13015,ARGENTINA,13015,13015,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-20 00:00:00,1993-02-01 00:00:00,13021,MENDOZA Nº 13,Mendoza,Nacional,13021,20,PICK-UP,13021,PEUGEOT,13021,PUP 504 GD,13021,Privado,Física,LAS HERAS,MENDOZA,Masculino,13021,ARGENTINA,13021,13021,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-28 00:00:00,1998-08-14 00:00:00,13021,MENDOZA Nº 13,Mendoza,Nacional,13021,20,PICK-UP,13021,TOYOTA,13021,HILUX 4X4 CABINA DOBLE SR5,13021,Privado,Física,GODOY CRUZ,MENDOZA,Masculino,13021,ARGENTINA,13021,13021,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-11 00:00:00,2013-02-19 00:00:00,9005,FORMOSA Nº 3,Formosa,Nacional,9005,20,PICK-UP,9005,TOYOTA,9005,HILUX 4X2 CABINA DOBLE DX PACK 2.5 TDI,9005,Privado,Física,FORMOSA,FORMOSA,Masculino,9005,ARGENTINA,9005,9005,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-17 00:00:00,2005-08-12 00:00:00,2082,CAPITAL FEDERAL Nº 082,Ciudad Autónoma de Bs.As.,Nacional,2082,20,PICK-UP,2082,TOYOTA,2082,HILUX 4X4 CABINA DOBLE SRV 3.0 TDI A/T,2082,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2082,No aplica,2082,2082,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-05 00:00:00,2014-06-02 00:00:00,2039,CAPITAL FEDERAL Nº 039,Ciudad Autónoma de Bs.As.,Nacional,2039,20,PICK-UP,2039,VOLKSWAGEN,2039,AMAROK 2.0L TDI 140 CV 4X2 066,2039,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,2039,ARGENTINA,2039,2039,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-26 00:00:00,2019-11-21 00:00:00,1194,AVELLANEDA Nº 5,Buenos Aires,Nacional,1194,20,PICK-UP,1194,VOLKSWAGEN,1194,AMAROK DC V6 EXTREME 3.0L TDI 4X4 A,1194,Privado,Física,PIÑEIRO,BUENOS AIRES,Masculino,1194,ARGENTINA,1194,1194,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-07 00:00:00,2004-12-07 00:00:00,2046,CAPITAL FEDERAL Nº 046,Ciudad Autónoma de Bs.As.,Nacional,2046,20,PICK-UP,2046,TOYOTA,2046,HILUX 4X4 CABINA DOBLE DX 3.0 D,2046,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,2046,ARGENTINA,2046,2046,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-26 00:00:00,2008-09-01 00:00:00,2055,CAPITAL FEDERAL Nº 055,Ciudad Autónoma de Bs.As.,Nacional,2055,20,PICK-UP,2055,FORD,2055,RANGER DC  XLT 3.0L D,2055,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,2055,ARGENTINA,2055,2055,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-21 00:00:00,2016-05-11 00:00:00,2060,CAPITAL FEDERAL Nº 060,Ciudad Autónoma de Bs.As.,Nacional,2060,20,PICK-UP,2060,FORD,2060,NUEVA RANGER DC 4X4 LTD MT 3.2L D,2060,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,2060,PERU,2060,2060,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-03 00:00:00,1993-04-14 00:00:00,1189,FLORENCIO VARELA Nº 2,Buenos Aires,Nacional,1189,20,PICK-UP,1189,FORD,1189,F-100,1189,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Masculino,1189,ARGENTINA,1189,1189,ARG
COMUNICACIÓN DE RECUPERO,2022-01-25 00:00:00,2019-01-09 00:00:00,1188,LA PLATA Nº 07,Buenos Aires,Nacional,1188,20,PICK-UP,1188,VOLKSWAGEN,1188,AMAROK DC 2.0L TDI 180CV HIGHLINE 4X4 MAN EU5,1188,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,1188,No aplica,1188,1188,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-28 00:00:00,2014-01-07 00:00:00,1186,MORENO Nº 2,Buenos Aires,Nacional,1186,20,PICK-UP,1186,VOLKSWAGEN,1186,AMAROK 2.0L TDI 180 CV 4X4 577,1186,Privado,Física,MORENO,BUENOS AIRES,Femenino,1186,ARGENTINA,1186,1186,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-11 00:00:00,2020-08-20 00:00:00,2062,CAPITAL FEDERAL Nº 062,Ciudad Autónoma de Bs.As.,Nacional,2062,20,PICK-UP,2062,TOYOTA,2062,HILUX 4X4 D/C SR 2.8 TDI 6 M/T,2062,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,2062,ARGENTINA,2062,2062,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-24 00:00:00,2019-06-26 00:00:00,2067,CAPITAL FEDERAL Nº 067,Ciudad Autónoma de Bs.As.,Nacional,2067,20,PICK-UP,2067,TOYOTA,2067,HILUX 4X4 D/C SRX 2.8 TDI 6 M/T,2067,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2067,No aplica,2067,2067,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-07 00:00:00,1997-07-10 00:00:00,4062,CORDOBA Nº 19,Córdoba,Nacional,4062,20,PICK-UP,4062,TOYOTA,4062,HILUX 4X4 CABINA DOBLE SR5,4062,Privado,Física,CORDOBA,CORDOBA,Masculino,4062,PERU,4062,4062,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-24 00:00:00,2018-08-21 00:00:00,1185,ADROGUE Nº 3,Buenos Aires,Nacional,1185,20,PICK-UP,1185,TOYOTA,1185,HILUX 4X4 D/C SRV 2.8 TDI 6 A/T,1185,Privado,Física,ADROGUÉ,BUENOS AIRES,Femenino,1185,ARGENTINA,1185,1185,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-14 00:00:00,2017-09-11 00:00:00,13010,MENDOZA Nº 04,Mendoza,Nacional,13010,20,PICK-UP,13010,VOLKSWAGEN,13010,AMAROK DC 2.0L TDI 140 CV 646,13010,Privado,Física,VILLA NUEVA,MENDOZA,No identificado,13010,ARGENTINA,13010,13010,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-20 00:00:00,2007-08-02 00:00:00,2084,CAPITAL FEDERAL Nº 084,Ciudad Autónoma de Bs.As.,Nacional,2084,20,PICK-UP,2084,FORD,2084,RANGER DC 4X4 XL PLUS 3.0L D,2084,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2084,No aplica,2084,2084,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-11 00:00:00,1991-02-14 00:00:00,1185,ADROGUE Nº 3,Buenos Aires,Nacional,1185,20,SIN ESPECIFICACION,1185,FORD,1185,F-100,1185,No declarado,Física,CLAYPOLE,BUENOS AIRES,No identificado,1185,ARGENTINA,1185,1185,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-24 00:00:00,2003-09-01 00:00:00,4004,CANALS,Córdoba,Nacional,4004,20,PICK-UP,4004,FORD,4004,RANGER XL C/C 4X2 2.8L D,4004,Privado,Física,PUEBLO ITALIANO,CORDOBA,Masculino,4004,ARGENTINA,4004,4004,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-05 00:00:00,1999-01-07 00:00:00,4005,CORDOBA Nº 01,Córdoba,Nacional,4005,20,PICK-UP,4005,TOYOTA,4005,HILUX 4X2 CABINA DOBLE DLX,4005,Privado,Jurídica,CORDOBA,CORDOBA,No aplica,4005,No aplica,4005,4005,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-18 00:00:00,2015-10-01 00:00:00,4006,CORDOBA Nº 02,Córdoba,Nacional,4006,20,PICK-UP,4006,FORD,4006,RANGER2 DC 4X4 XLT 3.2L DSL,4006,Privado,Física,CORDOBA,CORDOBA,Masculino,4006,ARGENTINA,4006,4006,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,2015-02-20 00:00:00,4007,CORDOBA Nº 03,Córdoba,Nacional,4007,20,PICK-UP,4007,TOYOTA,4007,HILUX 4X4 C/D DX PACK ELECTRICO 2.5 TDI - C3,4007,Privado,Física,CORDOBA,CORDOBA,Masculino,4007,ARGENTINA,4007,4007,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-13 00:00:00,1996-05-21 00:00:00,4027,RIO SEGUNDO Nº 1,Córdoba,Nacional,4027,20,PICK-UP,4027,FORD,4027,F-100 DIESEL,4027,Privado,Física,LAGUNA LARGA,CORDOBA,Masculino,4027,ARGENTINA,4027,4027,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,1995-06-09 00:00:00,1181,TRES DE FEBRERO Nº 4,Buenos Aires,Nacional,1181,20,PICK-UP,1181,FORD,1181,F-100 NAFTA,1181,Privado,Física,CIUDADELA 3 DE FEBRERO,BUENOS AIRES,No identificado,1181,No identificado,1181,1181,
COMUNICACIÓN DE RECUPERO,2022-01-21 00:00:00,2017-03-21 00:00:00,4037,CORDOBA Nº 06,Córdoba,Nacional,4037,20,PICK-UP,4037,TOYOTA,4037,HILUX 4X2 D/C SRV PACK 2.8 TDI 6 M/T,4037,Privado,Física,CORDOBA,CORDOBA,Masculino,4037,ARGENTINA,4037,4037,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-12 00:00:00,2015-09-15 00:00:00,4038,CORDOBA Nº 07,Córdoba,Nacional,4038,20,PICK-UP,4038,TOYOTA,4038,HILUX 4X4 C/D DX PACK ELECTRICO 2.5 TDI - C3,4038,Privado,Jurídica,CORDOBA,CORDOBA,No aplica,4038,No aplica,4038,4038,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-04 00:00:00,2003-02-13 00:00:00,4041,CORDOBA Nº 09,Córdoba,Nacional,4041,20,PICK-UP,4041,FORD,4041,RANGER XL C/C 4X2 2.8L D,4041,Privado,Física,CORDOBA,CORDOBA,Masculino,4041,ARGENTINA,4041,4041,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,2021-05-17 00:00:00,1185,ADROGUE Nº 3,Buenos Aires,Nacional,1185,20,PICK-UP,1185,TOYOTA,1185,HILUX 4X2 DC SRV 2.8 TDI 6 MT,1185,Privado,Física,ADROGUÉ,BUENOS AIRES,Masculino,1185,ARGENTINA,1185,1185,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,2018-10-18 00:00:00,1153,LA MATANZA Nº 05,Buenos Aires,Nacional,1153,20,PICK-UP,1153,TOYOTA,1153,HILUX 4X2 D/C SR 2.4 TDI 6 M/T,1153,Privado,Física,CIUDAD EVITA,BUENOS AIRES,No identificado,1153,ARGENTINA,1153,1153,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-19 00:00:00,2007-08-24 00:00:00,1161,ESTEBAN ECHEVERRIA Nº 2,Buenos Aires,Nacional,1161,20,PICK-UP,1161,FORD,1161,RANGER DC 4X2 XLS 3.0L D,1161,Privado,Física,LUIS GUILLÓN,BUENOS AIRES,Masculino,1161,ARGENTINA,1161,1161,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-18 00:00:00,2003-09-08 00:00:00,15012,CENTENARIO Nº 2,Neuquén,Nacional,15012,20,PICK-UP,15012,FORD,15012,RANGER XL C/C 4X2 2.8L D,15012,Privado,Física,CENTENARIO-CONFLUENCIA,NEUQUEN,Masculino,15012,ARGENTINA,15012,15012,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-12 00:00:00,2016-10-13 00:00:00,1014,BRANDSEN,Buenos Aires,Nacional,1014,20,PICK-UP,1014,TOYOTA,1014,HILUX 4X4 D/C SRX 2.8 TDI 6 A/T,1014,Privado,Física,BRANDSEN,BUENOS AIRES,No identificado,1014,ARGENTINA,1014,1014,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-19 00:00:00,2017-02-23 00:00:00,15016,CENTENARIO Nº 3,Neuquén,Nacional,15016,20,PICK-UP,15016,TOYOTA,15016,HILUX 4X2 D/C SRV PACK 2.8 TDI 6 M/T,15016,Privado,Física,AÑELO,NEUQUEN,Masculino,15016,ARGENTINA,15016,15016,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-20 00:00:00,2013-09-24 00:00:00,16016,ALLEN,Río Negro,Nacional,16016,20,PICK-UP,16016,TOYOTA,16016,HILUX 4X2 CABINA DOBLE SRV 3.0 TDI C/CUE,16016,Privado,Física,ALLEN,RIO NEGRO,Femenino,16016,ARGENTINA,16016,16016,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-11 00:00:00,2019-06-28 00:00:00,18006,SAN JUAN Nº 6,San Juan,Nacional,18006,20,PICK-UP,18006,VOLKSWAGEN,18006,AMAROK DC 2.0L TDI 180CV COMFORTLINE 4X2 MAN EU5,18006,Privado,Jurídica,CAPITAL,SAN JUAN,No aplica,18006,No aplica,18006,18006,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-21 00:00:00,1992-01-29 00:00:00,21059,ROSARIO Nº 16,Santa Fe,Nacional,21059,20,PICK-UP,21059,FORD,21059,F-100,21059,Privado,Física,ROSARIO,SANTA FE,No identificado,21059,ARGENTINA,21059,21059,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-04 00:00:00,1978-06-28 00:00:00,14011,PUERTO IGUAZU,Misiones,Nacional,14011,20,PICK-UP,14011,CHEVROLET,14011,CHEVROLET /10,14011,Privado,Física,IGUAZU,MISIONES,No identificado,14011,ARGENTINA,14011,14011,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,1985-03-27 00:00:00,21013,ROSARIO Nº 01,Santa Fe,Nacional,21013,20,PICK-UP,21013,FORD,21013,F-100/1985,21013,Privado,Física,ROSARIO,SANTA FE,No identificado,21013,ARGENTINA,21013,21013,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-27 00:00:00,1992-06-12 00:00:00,1005,AVELLANEDA Nº 2,Buenos Aires,Nacional,1005,20,PICK-UP,1005,FORD,1005,F-100,1005,Privado,Física,"WILDE,AVELLANEDA,BS.AS.",BUENOS AIRES,No identificado,1005,No identificado,1005,1005,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-17 00:00:00,2007-08-16 00:00:00,21039,ROSARIO Nº 06,Santa Fe,Nacional,21039,20,PICK-UP,21039,TOYOTA,21039,HILUX 4X2 CABINA DOBLE SRV 3.0 TDI,21039,Privado,Física,ROSARIO,SANTA FE,Masculino,21039,ARGENTINA,21039,21039,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-27 00:00:00,2000-10-27 00:00:00,23014,YERBA BUENA Nº 2,Tucumán,Nacional,23014,20,PICK-UP,23014,TOYOTA,23014,HILUX 4X2 CABINA DOBLE DLX/200,23014,Privado,Física,YERBA BUENA TUCUMAN,TUCUMAN,No identificado,23014,No identificado,23014,23014,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-25 00:00:00,2016-05-06 00:00:00,21047,SANTA FE Nº 4,Santa Fe,Nacional,21047,20,PICK-UP,21047,TOYOTA,21047,HILUX 4X4 D/C SRX 2.8 TDI 6 A/T,21047,Privado,Física,MONTE VERA,SANTA FE,Masculino,21047,ARGENTINA,21047,21047,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,2012-01-26 00:00:00,23011,TUCUMAN Nº 9,Tucumán,Nacional,23011,20,PICK-UP,23011,VOLKSWAGEN,23011,AMAROK 2.0L TDI 4X4 - AÑO:2012,23011,Privado,Física,SAN MIGUEL DE TUCUMÁN,TUCUMAN,Masculino,23011,ARGENTINA,23011,23011,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-18 00:00:00,2018-10-02 00:00:00,23006,TUCUMAN Nº 5,Tucumán,Nacional,23006,20,PICK-UP,23006,FORD,23006,RANGER DC 4X2 XL 2.5L N,23006,Privado,Física,SAN MIGUEL DE TUCUMÁN,TUCUMAN,Femenino,23006,ARGENTINA,23006,23006,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-03 00:00:00,2000-05-02 00:00:00,21059,ROSARIO Nº 16,Santa Fe,Nacional,21059,20,PICK-UP,21059,FORD,21059,RANGER XL 4X2 D,21059,Privado,Física,ROSARIO,SANTA FE,Femenino,21059,ARGENTINA,21059,21059,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-21 00:00:00,2014-02-04 00:00:00,21059,ROSARIO Nº 16,Santa Fe,Nacional,21059,20,PICK-UP,21059,TOYOTA,21059,HILUX 4X2 C/D DX PACK ELECTRICO 2.5 TDI,21059,Privado,Física,ROSARIO,SANTA FE,Masculino,21059,ARGENTINA,21059,21059,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-19 00:00:00,2010-11-09 00:00:00,20002,RIO GALLEGOS Nº 1,Santa Cruz,Nacional,20002,20,PICK-UP,20002,TOYOTA,20002,HILUX 4X4 CAB.DOB.SRV 3.0 TDI A/T C/CUER,20002,Privado,Física,RIO GALLEGOS,SANTA CRUZ,Masculino,20002,ARGENTINA,20002,20002,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,2007-08-31 00:00:00,13030,MENDOZA Nº 18,Mendoza,Nacional,13030,20,PICK-UP,13030,FORD,13030,RANGER DC 4X2 XL PLUS 3.0 D/2007,13030,Privado,Física,VILLA NUEVA,MENDOZA,Masculino,13030,ARGENTINA,13030,13030,ARG
COMUNICACIÓN DE RECUPERO,2022-01-25 00:00:00,2020-06-26 00:00:00,13030,MENDOZA Nº 18,Mendoza,Nacional,13030,20,PICK-UP,13030,VOLKSWAGEN,13030,AMAROK DC V6 COMFORTLINE 3.0L 258 CV TDI 4X4 AT,13030,Privado,Física,KILOMETRO 11,MENDOZA,Masculino,13030,ARGENTINA,13030,13030,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-05 00:00:00,2004-07-20 00:00:00,13035,MENDOZA Nº 19,Mendoza,Nacional,13035,20,PICK-UP,13035,FORD,13035,RANGER XL C/C 4X2 2.8L D,13035,Privado,Física,SAN FRANCISCO DEL MONTE,MENDOZA,Masculino,13035,ARGENTINA,13035,13035,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-20 00:00:00,2008-09-04 00:00:00,1029,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Nacional,1029,20,PICK-UP,1029,TOYOTA,1029,HILUX 4X2 CABINA DOBLE SR C/AB 3.0 TDI,1029,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1029,ARGENTINA,1029,1029,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-20 00:00:00,1988-08-30 00:00:00,13034,GODOY CRUZ,Mendoza,Nacional,13034,20,PICK-UP,13034,CHEVROLET,13034,C-10 CUSA,13034,Privado,Física,GODOY CRUZ,MENDOZA,Masculino,13034,ARGENTINA,13034,13034,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-18 00:00:00,2019-05-02 00:00:00,13033,MAIPÚ Nº 3,Mendoza,Nacional,13033,20,PICK-UP,13033,TOYOTA,13033,HILUX 4X2 C/S DX 2.4 TDI 6 M/T,13033,Privado,Física,RODEO DEL MEDIO,MENDOZA,Masculino,13033,ARGENTINA,13033,13033,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-13 00:00:00,1993-09-09 00:00:00,1029,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Nacional,1029,20,PICK-UP,1029,PEUGEOT,1029,PUP 504 G PP,1029,Privado,Física,LUIS GUILLON,BUENOS AIRES,Masculino,1029,BOLIVIA,1029,1029,BOL
